담당채널,지사,계약번호,서비스번호,상호,구역,설치주소,"활동유무(o,x)",세부 활동내역,시,군구,읍면동,"위치좌표(위도,경도)",상태,세부 활동내역.1,최종수정자,최종수정일시
SP,중앙,51073635.0,61290069.0,한성에프아이(GiGAeyes guard),G000405,서울 동대문구 답십리동 474-1번지,미접수,테스트,서울,동대문구,답십리동,"37.573819164556,127.051045342363",미접수,,관리자,2026-08-19 16:35:43
SP,중앙,51880926.0,62819299.0,와이즈만동대문센터(GiGAeyes guard),G000405,서울 동대문구 장안동 387-6번지 11층,,,서울,동대문구,장안동,"37.5720095089854,127.069271313568",,,,
SP,중앙,51683201.0,62401565.0,전농튼튼마취통증의학과(GiGAeyes i-guard),G000405,서울 동대문구 전농동 295-316번지 1층,활동중,유선상담을 통해 이번달 이내로 방문하여 할인신청서 작성 예정,서울,동대문구,전농동,"37.5772631339223,127.056937593535",활동중,,중앙-G000405,2026-08-20 13:59:07
SP,중앙,10735091.0,10735091.0,금호4가동주민센터-5층예비군동대,G000408,서울 성동구 금호동4가 803번지2층,,,서울,성동구,성동,"37.5471806538049,127.022342027374",,,,
SP,중앙,51898787.0,62857776.0,인생한우(GiGAeyes guard),G000404,서울 성동구 마장동 522-2,활동중,재계약시 월정료 20% 할인 안내드림 (고객 고민 후 피드백 주신다 하심),서울,성동구,성동,"37.5701666953807,127.038216767287",활동중,,중앙-G000404,2026-08-18 15:16:24
SP,중앙,52334162.0,63698805.0,코아즈건설(주)-행당동현장,G000404,서울 성동구 행당동 286-4 건축현장,,,서울,성동구,성동,"37.5619700322104,127.033898035753",,,,
SP,중앙,50871952.0,61044765.0,짱(OCT),G000406,서울 성북구 동선동1가 2-2번지 12층,,,서울,성북구,동선동,"37.5923880050208,127.017573409916",,,,
SP,중앙,20385480.0,20385480.0,서울누리새마을금고-동소문로본점(365기계실),G000406,서울 성북구 동소문동2가 245,,,서울,성북구,동소문동,"37.5895275844143,127.009190015623",,,,
SP,중앙,51041848.0,61249006.0,교보디티에스(OCT),G000407,서울 성북구 성북동 330-223번지,,,서울,성북구,성북동,"37.5963894438485,126.984687638181",,,,
SP,중앙,51686979.0,62409731.0,이태원무인탄광맥주서면점(GiGAeyes guard),G000403,서울 용산구 이태원동 119-7번지 4층,,,서울,용산구,이태원동,"37.5348805016267,126.99322967961",,,,
SP,중앙,50614872.0,60748073.0,청원빌딩(OCT),G000403,서울 용산구 이태원동 58-5 청원빌딩,,,서울,용산구,이태원동,"37.5340744441904,126.990324629643",,,,
SP,중앙,51050407.0,61260742.0,한남동성당(GiGAeyes guard),G000403,서울 용산구 한남동 657-40,,,서울,용산구,한남동,"37.5339376802753,127.002567844671",,,,
SP,중앙,52134632.0,63299635.0,한남아이파크,G000403,서울 용산구 한남동 828 (한남동),,,서울,용산구,한남동,"37.5324308327973,127.007232043734",,,,
SP,중앙,52138351.0,63303354.0,(주)타이거알유(계동지점),G000407,서울 종로구 계동  140-2 스포츠센터 (계동 현대빌딩계동),,,서울,종로구,계동,"37.5784118956695,126.987398579121",,,,
SP,중앙,51872360.0,62801019.0,나인트리 프리미어 호텔 인사동,G000402,서울 종로구 관훈동 155-2 나인트리 프리미어 호텔 인사동,,,서울,종로구,관훈동,"37.5745525870897,126.983795661777",,,,
SP,중앙,51524942.0,62062277.0,컬트쥬얼리(OCT),G000407,서울 종로구 낙원동 150-1 파고다빌딩 5층,,,서울,종로구,낙원동,"37.5718008087131,126.989794738486",,,,
SP,중앙,51501065.0,62010266.0,승리공예(GiGAeyes guard),G000407,서울 종로구 묘동 140 은조빌딩4층,,,서울,종로구,묘동,"37.5740740182506,126.990886596752",,,,
SP,중앙,51177183.0,61428504.0,쥬미에르(501호),G000407,서울 종로구 봉익동 29-2 제일빌딩5층,,,서울,종로구,봉익동,"37.5723126028514,126.992599170767",,,,
SP,중앙,50944224.0,61132512.0,(SG)골드피쉬1(OCT),G000407,서울 종로구 연지동 59번지 준성빌딩 7층(구.케이에스쥬얼리),,,서울,종로구,연지동,"37.5740074141603,126.998320656635",,,,
SP,중앙,51324302.0,61648212.0,유디임팩트(GiGAeyes guard),G000407,서울 종로구 와룡동 109-1,,,서울,종로구,와룡동,"37.576394328427,126.990615301083",,,,
SP,중앙,50941772.0,61129720.0,(SG)좋은느낌3층,G000407,서울 종로구 원남동 273번지 세용빌딩 3층,,,서울,종로구,원남동,"37.5742983129161,126.996762086613",,,,
SP,중앙,51517465.0,62044996.0,루시아(OCT),G000407,서울 종로구 원남동 66-1 반석빌딩3층,,,서울,종로구,원남동,"37.5751814179945,126.999001208014",,,,
SP,중앙,51215147.0,61483826.0,엔불(GiGAeyes guard),G000407,서울 종로구 원남동 66-1반석빌딩4층,,,서울,종로구,원남동,"37.5751814179945,126.999001208014",,,,
SP,중앙,51203403.0,61466709.0,주얼리창조-3층(GiGAeyes guard),G000407,서울 종로구 인의동 62-1번지 34층,,,서울,종로구,인의동,"37.5737009625962,126.997118469149",,,,
SP,중앙,52134852.0,63299855.0,장안악세사리상가,G000401,서울 중구 남창동  60-12 장안상가 (남창동),활동중,,서울,중구,남창동,"37.558296815466,126.976766888379",활동중,,중앙-G000401,2026-08-20 13:28:30
SP,중앙,50733057.0,60882249.0,연세봉래빌딩,G000401,서울 중구 봉래동1가 5-41번지 연세봉래빌딩,방문상담,견적서제출,서울,중구,봉래동,"37.5594905208279,126.973240864029",방문상담,,중앙-G000401,2026-08-21 14:33:02
SP,중앙,51387119.0,61773068.0,한화호텔앤드리조트,G000401,서울 중구 서소문동 12-1번지 서소문한화빌딩,재계약거부,한화재단은 매년 연초에 1년씩 재계약을 하고있습니다. 한화쪽서류제출,서울,중구,서소문동,"37.5642923921623,126.976234067572",재계약거부,,중앙-G000401,2026-08-21 14:33:49
SP,중앙,50677909.0,60820064.0,서울신당초등학교_확장4(행정교무실)(OCT),G000404,서울 중구 신당동 161 신당초등학교,,,서울,중구,신당동,"37.5641285989768,127.022812171047",,,,
